Tempo,ITTC,LASER_BEAM_INDEX,LASER_BEAM_ANGLE_DEGREE,LASER_BEAM_LENGTH,VELOCITY_TOTAL,VELOCITY_AT_LASER_BEAM_DIRECTION
0,100000000.0,0,-134.6450763915921,1.304814338684082,0.0,-0.0
0,100000000.0,1,-134.39573363915378,1.3016128540039062,0.0,-0.0
0,100000000.0,2,-134.1463908867154,1.3069287538528442,0.0,-0.0
0,100000000.0,3,-133.89704813427707,1.3045897483825684,0.0,-0.0
0,100000000.0,4,-133.6477053818387,1.2597416639328003,0.0,-0.0
0,100000000.0,5,-133.39836262940037,1.2458752393722534,0.0,-0.0
0,100000000.0,6,-133.149019876962,1.2610427141189575,0.0,-0.0
0,100000000.0,7,-132.89967712452366,1.2384966611862183,0.0,-0.0
0,100000000.0,8,-132.6503343720853,1.250458002090454,0.0,-0.0
0,100000000.0,9,-132.40099161964693,1.239892840385437,0.0,-0.0
0,100000000.0,10,-132.1516488672086,1.2539112567901611,0.0,-0.0
0,100000000.0,11,-131.90230611477023,1.2508985996246338,0.0,-0.0
0,100000000.0,12,-131.6529633623319,1.1950806379318237,0.0,-0.0
0,100000000.0,13,-131.40362060989352,1.2018818855285645,0.0,-0.0
0,100000000.0,14,-131.15427785745518,1.1990898847579956,0.0,-0.0
0,100000000.0,15,-130.90493510501682,1.1929564476013184,0.0,-0.0
0,100000000.0,16,-130.65559235257848,1.2064436674118042,0.0,-0.0
0,100000000.0,17,-130.40624960014011,1.2111012935638428,0.0,-0.0
0,100000000.0,18,-130.15690684770178,1.2060028314590454,0.0,-0.0
0,100000000.0,19,-129.9075640952634,1.1951977014541626,0.0,-0.0
0,100000000.0,20,-129.65822134282504,1.197013258934021,0.0,-0.0
0,100000000.0,21,-129.4088785903867,1.188963770866394,0.0,-0.0
0,100000000.0,22,-129.15953583794834,1.1795779466629028,0.0,-0.0
0,100000000.0,23,-128.91019308551,1.1483417749404907,0.0,-0.0
0,100000000.0,24,-128.66085033307164,1.1425694227218628,0.0,-0.0
0,100000000.0,25,-128.4115075806333,1.1363451480865479,0.0,-0.0
0,100000000.0,26,-128.16216482819493,1.150771975517273,0.0,-0.0
0,100000000.0,27,-127.91282207575658,1.1513649225234985,0.0,-0.0
0,100000000.0,28,-127.66347932331823,1.1211363077163696,0.0,-0.0
0,100000000.0,29,-127.41413657087988,1.14814031124115,0.0,-0.0
0,100000000.0,30,-127.16479381844152,1.1361324787139893,0.0,-0.0
0,100000000.0,31,-126.91545106600317,1.1544530391693115,0.0,-0.0
0,100000000.0,32,-126.66610831356482,1.1553407907485962,0.0,-0.0
0,100000000.0,33,-126.41676556112647,1.1411386728286743,0.0,-0.0
0,100000000.0,34,-126.16742280868812,1.1508605480194092,0.0,-0.0
0,100000000.0,35,-125.91808005624976,1.1243335008621216,0.0,-0.0
0,100000000.0,36,-125.66873730381141,1.0891884565353394,0.0,-0.0
0,100000000.0,37,-125.41939455137305,1.0895971059799194,0.0,-0.0
0,100000000.0,38,-125.1700517989347,1.1037285327911377,0.0,-0.0
0,100000000.0,39,-124.92070904649634,1.1055457592010498,0.0,-0.0
0,100000000.0,40,-124.67136629405799,1.094230055809021,0.0,-0.0
0,100000000.0,41,-124.42202354161964,1.0965884923934937,0.0,-0.0
0,100000000.0,42,-124.17268078918129,1.0810457468032837,0.0,-0.0
0,100000000.0,43,-123.92333803674293,1.1027692556381226,0.0,-0.0
0,100000000.0,44,-123.67399528430458,1.088614583015442,0.0,-0.0
0,100000000.0,45,-123.42465253186623,1.0841755867004395,0.0,-0.0
0,100000000.0,46,-123.17530977942788,1.1087311506271362,0.0,-0.0
0,100000000.0,47,-122.92596702698953,1.090997576713562,0.0,-0.0
0,100000000.0,48,-122.67662427455117,1.105218768119812,0.0,-0.0
0,100000000.0,49,-122.4272815221128,1.0960328578948975,0.0,-0.0
0,100000000.0,50,-122.17793876967445,1.0437310934066772,0.0,-0.0
0,100000000.0,51,-121.9285960172361,1.053526520729065,0.0,-0.0
0,100000000.0,52,-121.67925326479775,1.0455387830734253,0.0,-0.0
0,100000000.0,53,-121.4299105123594,1.0494633913040161,0.0,-0.0
0,100000000.0,54,-121.18056775992105,1.0528913736343384,0.0,-0.0
0,100000000.0,55,-120.9312250074827,1.0528650283813477,0.0,-0.0
0,100000000.0,56,-120.68188225504434,1.062066674232483,0.0,-0.0
0,100000000.0,57,-120.43253950260599,1.0626745223999023,0.0,-0.0
0,100000000.0,58,-120.18319675016764,1.0575461387634277,0.0,-0.0
0,100000000.0,59,-119.93385399772929,1.0454176664352417,0.0,-0.0
0,100000000.0,60,-119.68451124529092,1.0272438526153564,0.0,-0.0
0,100000000.0,61,-119.43516849285257,1.047580599784851,0.0,-0.0
0,100000000.0,62,-119.18582574041422,1.0623972415924072,0.0,-0.0
0,100000000.0,63,-118.93648298797586,1.0585172176361084,0.0,-0.0
0,100000000.0,64,-118.68714023553751,1.0628858804702759,0.0,-0.0
0,100000000.0,65,-118.43779748309916,1.048054814338684,0.0,-0.0
0,100000000.0,66,-118.18845473066081,1.0722098350524902,0.0,-0.0
0,100000000.0,67,-117.93911197822246,0.9946797490119934,0.0,-0.0
0,100000000.0,68,-117.6897692257841,0.9834943413734436,0.0,-0.0
0,100000000.0,69,-117.44042647334575,0.9923495650291443,0.0,-0.0
0,100000000.0,70,-117.1910837209074,0.9899625778198242,0.0,-0.0
0,100000000.0,71,-116.94174096846905,0.999567985534668,0.0,-0.0
0,100000000.0,72,-116.69239821603068,0.9960349202156067,0.0,-0.0
